ID,TENURE,AGE,GENDER,NATIONALITY,AREA_CODE,STATE,REGION,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER,OFFER_CD,OFFER_NAME,OFFER_TYPE,RELOAD_CD,RELOAD_CHANNEL,RELOAD_TYPE
S275,33,29,Female,Malaysia,7,PAHANG,EASTERN,Active,Active,Y,10/05/2022,Y,N,15,?,9.709624,9.525462,2.1,0,Y,N,25,?,?,?,10.42,?,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,VOUCHER,NON-DIGITAL
S276,62,29,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,Y,N,8,?,0.269919,0,2.5167,0,N,N,?,?,?,?,12.17,3,13,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S277,51,29,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0,0,N,Y,?,5,?,?,?,?,8,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,CASH,NON-DIGITAL
S278,64,29,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/05/2022,Y,N,15,?,2.342643,0,0,0,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S279,152,29,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,N,N,?,?,0,0,32.15,0,N,N,?,?,?,?,6.04,?,35,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S280,36,29,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,22,DURING CAMP THEN REMAIN,,NA,NA,NA,NA,NA
S281,50,29,Male,Malaysia,6,N SEMBILAN,SOURTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0.0167,0.0833,Y,N,10,?,?,?,0.13,0.13,6,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S282,44,29,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,6,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S283,65,29,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/06/2022,Y,N,15,?,1.244257,0.185739,0,0,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S284,106,29,Male,Malaysia,13,TERENGGANU,EASTERN,Active,Active,N,?,N,N,?,?,10.312193,0,0,0,N,N,?,?,?,?,?,?,36,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S285,30,29,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,24.681305,0,7.0167,0,Y,N,35,?,?,?,25.2,?,1,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S286,53,29,Female,Malaysia,5,MALACCA,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0.379393,0,6.05,0,Y,N,5,?,?,?,7.8,?,33,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S287,41,29,Female,Malaysia,13,TERENGGANU,EASTERN,Active,Active,Y,10/06/2022,Y,N,15,?,8.434875,0,0.0333,0,Y,N,15,?,?,?,15,?,33,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S288,42,29,Male,Malaysia,5,MALACCA,SOURTHERN,Active,Close,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S289,39,29,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.000003,0,0,0,N,N,?,?,7.99,?,7.99,?,21,DURING CAMP THEN REMAIN,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S290,30,29,Male,Malaysia,3,KELANTAN,EASTERN,Active,Active,Y,10/06/2022,Y,Y,15,8,0.879944,1.716054,0,0,Y,N,30,?,?,?,4,8,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S291,24,29,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/05/2022,N,N,?,?,0,0,0,0,Y,N,5,?,?,?,?,?,11,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S292,53,29,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,N,Y,?,49.99,0,25.691797,0,51,N,Y,?,100,?,0.15,?,98.75,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,CASH,NON-DIGITAL
S293,29,29,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/06/2022,Y,Y,1,1,0.09799,0.22918,0.0667,0.3333,N,Y,?,5,?,?,0.35,2.35,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,RETAIL,NON-DIGITAL
S294,30,29,Female,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S295,72,29,Male,Malaysia,6,N SEMBILAN,SOURTHERN,Active,Active,N,?,N,N,?,?,0,0.045829,0,0,N,N,?,?,?,?,?,1,0,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S296,20,29,Unspecified,Malaysia,1,JOHORE,SOURTHERN,Active,Active,N,?,Y,N,1.5,?,0.00294,0,0,0,Y,N,10,?,?,?,?,?,5,DURING & AFTER CAMP,,NA,NA,C2,APP,DIGITAL
S297,24,29,Female,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/05/2022,Y,N,15,?,8.226001,0,0,0,Y,N,5,?,?,?,5,?,33,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S298,36,29,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S299,63,29,Female,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0.842422,0.749934,1.6333,3.0166,Y,Y,35,30,?,?,11.2,1.8,3,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S300,79,29,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/05/2022,Y,Y,15,4,0,13.064416,0,0,Y,Y,5,5,?,?,0.8,14,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S301,21,29,Unspecified,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/06/2022,Y,Y,1,2,0,0.643597,0,0.9833,Y,N,10,?,?,?,?,6.9,13,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S302,37,29,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0,0,Y,N,30,?,?,?,12,?,3,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S303,69,29,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,Y,Y,1,1.5,1.162676,5.562158,0,0,N,N,?,?,?,?,1,3.5,1,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S304,24,29,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,Y,Y,3,15,0.76104,32.335947,1.55,7.8,Y,Y,10,50,?,?,6,25.61,0,BEFORE & AFTER CAMP,,NA,NA,C2,APP,DIGITAL
S305,152,29,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/05/2022,Y,N,15,?,0,0.007554,0,0,N,N,?,?,?,?,?,?,10,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S306,49,30,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0,0,N,N,?,?,?,?,?,?,19,DURING CAMP THEN REMAIN,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S307,53,30,Male,Malaysia,7,PAHANG,EASTERN,Active,Active,Y,10/05/2022,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,6,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S308,35,30,Male,Malaysia,13,TERENGGANU,EASTERN,Active,Active,Y,10/06/2022,Y,N,15,?,10.44969,0.467177,0,0,N,N,?,?,?,?,?,?,12,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S309,90,30,Female,Malaysia,3,KELANTAN,EASTERN,Active,Active,Y,10/05/2022,Y,N,15,?,0.086504,0.10284,0,0,Y,N,10,?,?,?,?,?,8,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S310,29,30,Male,Malaysia,3,KELANTAN,EASTERN,Active,Active,N,?,N,N,?,?,0.010453,0.049188,0,0,Y,Y,5,5,?,?,?,?,2,DURING & AFTER CAMP,,NA,NA,C2,APP,DIGITAL
S311,118,30,Female,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,57.3334,0,N,N,?,?,?,?,20.28,?,37,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S312,15,30,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0,0,N,N,?,?,?,?,?,?,18,DURING CAMP THEN REMAIN,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S313,23,30,Female,Malaysia,1,JOHORE,SOURTHERN,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,1,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S314,27,30,Female,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/05/2022,Y,N,15,?,0.000024,0.000017,0,0,N,N,?,?,?,?,?,?,12,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S315,71,30,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S316,24,30,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/06/2022,Y,N,15,?,8.091558,0.003748,0,0,Y,N,30,?,?,?,27,?,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S317,22,30,Male,Malaysia,9,PERAK,NORTHERN,Active,Close,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S318,31,30,Male,Malaysia,7,PAHANG,EASTERN,Active,Active,Y,10/05/2022,Y,N,15,?,0.000005,0,0,0,N,N,?,?,?,?,?,?,35,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S319,63,30,Female,Malaysia,,SELANGOR,CENTRAL,Active,Active,N,?,N,N,?,?,4.151433,0,0,0,N,N,?,?,?,?,0.6,?,38,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S320,18,30,Male,Malaysia,5,MALACCA,SOURTHERN,Active,Active,Y,10/06/2022,Y,Y,35,35,3.931161,12.209086,1.9,5.1167,Y,Y,35,35,?,?,35,35,2,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S321,93,30,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,N,?,Y,N,12,?,1.935682,0,0.8667,0,N,N,?,?,?,?,12.45,?,36,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S322,68,30,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,0,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S323,117,30,Male,Malaysia,6,N SEMBILAN,SOURTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0,0,Y,N,5,?,?,?,?,?,1,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S324,119,30,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0,0,Y,N,10,?,?,?,?,?,38,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S325,21,30,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,2.598623,4.059423,1.5167,2.1667,Y,N,5,?,?,?,0.3,?,0,DURING & AFTER CAMP,,NA,NA,C2,APP,DIGITAL
S326,33,30,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/05/2022,Y,N,1,?,29.800278,0,102.5834,0,N,N,?,?,?,?,1,?,5,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S327,26,30,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0,0,Y,Y,1,1,?,?,30,30,6,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S328,28,30,Male,Malaysia,2,KEDAH,NORTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,1.030677,0,47.2833,0,N,N,?,?,?,?,0.3,?,35,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S329,107,31,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/06/2022,Y,N,15,?,0,7.017105,0,0,N,N,?,?,?,?,?,8,3,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S330,34,31,Male,Malaysia,5,MALACCA,SOURTHERN,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S331,17,31,Male,Malaysia,3,KELANTAN,EASTERN,Active,Active,N,?,N,N,?,?,0,0,9.55,0,N,N,?,?,?,?,1.2,?,35,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S332,88,31,Male,Malaysia,5,MALACCA,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0,0,Y,Y,5,30,?,?,10,?,4,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S333,15,31,Male,Malaysia,13,TERENGGANU,EASTERN,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S334,32,31,Male,Malaysia,3,KELANTAN,EASTERN,Active,Active,Y,10/05/2022,Y,Y,15,10,10.458715,2.460338,0.4167,0,Y,Y,10,10,?,?,10.3,11,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S335,99,31,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,0,0,0.8833,0.95,N,N,?,?,?,?,0.6,2.5,2,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S336,75,31,Male,Malaysia,6,N SEMBILAN,SOURTHERN,Active,Active,Y,10/05/2022,Y,Y,8,8,4.245455,6.683222,0,0,N,Y,?,50,?,?,12,20,4,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,RETAIL,NON-DIGITAL
S337,21,31,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,Y,N,15,?,2.886848,0,0,0,N,N,?,?,?,?,3,?,39,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S338,49,31,Male,Malaysia,8,PENANG,NORTHERN,Active,Active,Y,10/06/2022,Y,N,27.99,?,0,0.000181,0,3.9333,Y,Y,30,50,?,?,?,38,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S339,65,31,Female,Malaysia,2,KEDAH,NORTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.000013,0,0,0,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S340,20,31,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,1.155183,0.000001,15.1167,0,Y,N,10,?,?,?,4.81,?,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S341,19,31,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.001289,0,0,0,Y,N,50,?,50.97,?,60.97,?,35,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),C2,DSO,DIGITAL
S342,32,31,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,Y,?,29.99,0,1.685646,0,23.0667,N,Y,?,95,3.9,36.31,3.9,75.3,0,BEFORE & AFTER CAMP,,NA,NA,C1,RETAIL,NON-DIGITAL
S343,21,31,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0,0.000098,0,1.15,N,N,?,?,?,?,4,0.39,4,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S344,71,31,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,N,?,N,N,?,?,0.000554,0,0,0,Y,N,1,?,?,?,1,?,34,NO ACTIVITY SINCE SEP,,NA,NA,C2,DSO,DIGITAL
S345,23,31,Female,Malaysia,3,KELANTAN,EASTERN,Active,Active,Y,10/06/2022,N,N,?,?,1.089188,0,5.2667,0,N,N,?,?,31.6,?,31.6,?,38,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S346,23,31,Female,Malaysia,1,JOHORE,SOURTHERN,Active,Close,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S347,94,31,Female,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/05/2022,N,N,?,?,0,0,0,0,N,N,?,?,?,?,2,?,12,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S348,26,31,Male,Malaysia,2,KEDAH,NORTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.026546,3.85764,0,0.4833,N,N,?,?,?,?,?,0.4,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S349,19,31,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/05/2022,N,N,?,?,0.000031,0,0,0,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S350,84,31,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/06/2022,Y,Y,15,3,0.000002,0.78292,0,0,N,N,?,?,?,?,?,4,2,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S351,35,31,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S352,60,31,Female,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/06/2022,Y,N,49.99,?,6.168277,0,2.1667,0,N,N,?,?,?,?,49.99,?,38,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S353,108,31,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S354,18,31,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/06/2022,N,Y,?,34.99,6.612819,6.775901,8.8,14.6667,N,Y,?,50,?,?,6,35.79,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,RETAIL,NON-DIGITAL
S355,167,31,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0,0,N,Y,?,5,?,?,?,?,6,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,KIOSK,DIGITAL
S356,79,31,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/06/2022,Y,N,15,?,2.570665,0.935691,0,0.05,N,N,?,?,?,?,?,0.13,2,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S357,39,31,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,Y,Y,20,20,16.816877,9.861426,0,0,Y,Y,30,10,?,?,20,20,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,DSO,DIGITAL
S358,23,32,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,N,?,N,N,?,?,0,0,0.7,0,Y,N,10,?,?,?,0.7,?,1,BEFORE & AFTER CAMP,,NA,NA,C2,DSO,DIGITAL
S359,94,32,Female,Malaysia,5,MALACCA,SOURTHERN,Active,Active,N,?,Y,N,8,?,7.980349,0,3.2833,0,N,N,?,?,?,?,27.12,?,2,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S360,44,32,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,7.485393,7.991179,0,0.1,N,N,?,?,?,?,?,0.02,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S361,21,32,Female,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.035751,0.000524,0,0,N,N,?,?,?,?,0.1,0.1,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S362,25,32,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Close,N,?,N,N,?,?,0.078886,0,0,0,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S363,22,32,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Close,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP,,NA,NA,NA,NA,NA
S364,43,32,Female,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,Y,N,15,?,0.000068,0,0,0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S365,162,32,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/05/2022,N,N,?,?,1.001996,4.059557,82.0833,49.7167,N,N,?,?,?,?,1.32,?,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S366,25,32,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S367,82,32,Female,Malaysia,6,N SEMBILAN,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0,0,N,N,?,?,?,?,?,?,2,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S368,152,32,Male,Malaysia,9,PERAK,NORTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0.148909,1.185407,0.8333,0,N,N,?,?,?,?,3.26,?,0,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S369,167,32,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/06/2022,N,N,?,?,0,0.021907,0,10.95,N,N,?,?,?,?,?,6.5,1,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S370,185,32,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/06/2022,Y,N,15,?,0,0,0,0,Y,N,10,?,?,?,?,?,4,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,DSO,DIGITAL
S371,29,32,Male,Malaysia,2,KEDAH,NORTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0.095654,0,587.35,0,Y,N,60,?,?,?,46.8,?,35,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),C2,DSO,DIGITAL
S372,19,32,Male,Malaysia,2,KEDAH,NORTHERN,Active,Active,Y,10/06/2022,N,N,?,?,38.862185,0,56.4167,0,N,N,?,?,3.5,?,12.5,?,19,DURING CAMP THEN REMAIN,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S373,24,32,Male,Malaysia,1,JOHORE,SOURTHERN,Active,Active,N,?,Y,N,1,?,0.186817,0,0,0,N,N,?,?,?,?,2,?,38,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S374,161,32,Male,Malaysia,4,KLANG VALLEY,CENTRAL,Active,Active,Y,10/05/2022,Y,N,15,?,0.049866,1.084647,0,6.25,N,Y,?,5,?,?,?,1.53,1,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,DSO,DIGITAL
S375,35,32,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0,0,N,Y,?,10,?,?,?,?,8,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S376,160,32,Female,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/06/2022,N,Y,?,15,0,0,0,0,N,N,?,?,?,?,?,15,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
S377,178,32,Female,Malaysia,11,SABAH,EAST WEST,Active,Active,Y,10/05/2022,Y,Y,15,10,0,0.154662,0,0.0833,N,Y,?,5,?,?,1,10.72,2,DURING & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C2,APP,DIGITAL
S378,36,32,Male,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,N,Y,?,3,0.87998,3.89151,0,0,N,Y,?,10,?,?,?,7.8,0,BEFORE & AFTER CAMP,,NA,NA,C2,APP,DIGITAL
S379,25,32,Male,Malaysia,5,MALACCA,SOURTHERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.039015,0,0,0,N,N,?,?,?,?,?,?,38,NO ACTIVITY SINCE SEP,A001,BOS_1,FREE Internet (18GB),NA,NA,NA
